"図鑑番号","ポケモン名","HP","A","B","C","D","S","タイプ１","タイプ２","通常特性１","通常特性２","夢特性","合計","重さ(kg)","体重技威力"
"687","カラマネロ","86","92","88","68","75","73","悪","超","あまのじゃく"," きゅうばん","すりぬけ","482","47","80"
"688","カメテテ","42","52","67","39","56","50","岩","水","かたいツメ"," スナイパー","わるいてぐせ","306","31","60"
"689","ガメノデス","72","105","115","54","86","68","岩","水","かたいツメ"," スナイパー","わるいてぐせ","500","96","80"
"690","クズモー","50","60","60","60","60","30","毒","水","どくのトゲ"," どくしゅ","てきおうりょく","320","7.3","20"
"691","ドラミドロ","65","75","90","97","123","44","毒","竜","どくのトゲ"," どくしゅ","てきおうりょく","494","81.5","80"
"692","ウデッポウ","50","53","62","58","63","44","水","-","メガランチャー","-","-","330","8.3","20"
"693","ブロスター","71","73","88","120","89","59","水","-","メガランチャー","-","-","500","35.3","60"
"694","エリキテル","44","38","33","61","43","70","電","ノ","かんそうはだ"," すながくれ","サンパワー","289","6","20"
"695","エレザード","62","55","52","109","94","109","電","ノ","かんそうはだ"," すながくれ","サンパワー","481","21","40"
"696","チゴラス","58","89","77","45","45","48","岩","竜","がんじょうあご","-","がんじょう","362","26","60"
"697","ガチゴラス","82","121","119","69","59","71","岩","竜","がんじょうあご","-","いしあたま","521","270","120"
"698","アマルス","77","59","50","67","63","46","岩","氷","フリーズスキン","-","ゆきふらし","362","25.2","60"
"699","アマルルガ","123","77","72","99","92","58","岩","氷","フリーズスキン","-","ゆきふらし","521","225","120"
"700","ニンフィア","95","65","65","110","130","60","妖","-","メロメロボディ","-","フェアリースキン","525","23.5","40"
"701","ルチャブル","78","92","75","74","63","118","格","飛","じゅうなん"," かるわざ","かたやぶり","500","21.5","40"
"702","デデンネ","67","58","57","81","67","101","電","妖","ほおぶくろ"," ものひろい","プラス","431","2.2","20"
"703","メレシー","50","50","150","50","150","50","岩","妖","クリアボディ","-","がんじょう","500","5.7","20"
"704","ヌメラ","45","50","35","55","75","40","竜","-","そうしょく"," うるおいボディ","ぬめぬめ","300","2.8","20"
"705","ヌメイル","68","75","53","83","113","60","竜","-","そうしょく"," うるおいボディ","ぬめぬめ","452","17.5","40"
"706","ヌメルゴン","90","100","70","110","150","80","竜","-","そうしょく"," うるおいボディ","ぬめぬめ","600","150.5","100"
"707","クレッフィ","57","80","91","80","87","75","鋼","妖","いたずらごころ","-","マジシャン","470","3","20"
"708","ボクレー","43","70","48","50","60","38","霊","草","しぜんかいふく"," おみとおし","しゅうかく","309","7","20"
"709","オーロット","85","110","76","65","82","56","霊","草","しぜんかいふく"," おみとおし","しゅうかく","474","71","80"
"710","バケッチャ","49","66","70","44","55","51","霊","草","ものひろい"," おみとおし","ふみん","335","5","20"
"710","バケッチャ小","44","66","70","44","55","56","霊","草","ものひろい"," おみとおし","ふみん","335","3.5","20"
"710","バケッチャ大","54","66","70","44","55","46","霊","草","ものひろい"," おみとおし","ふみん","335","7.5","20"
"710","バケッチャ特大","59","66","70","44","55","41","霊","草","ものひろい"," おみとおし","ふみん","335","15","40"
"711","パンプジン","65","90","122","58","75","84","霊","草","ものひろい"," おみとおし","ふみん","494","12.5","40"
"711-01","パンプジン小","55","85","122","58","75","99","霊","草","ものひろい"," おみとおし","ふみん","494","9.5","20"
"711-02","パンプジン大","75","95","122","58","75","69","霊","草","ものひろい"," おみとおし","ふみん","494","14","40"
"711-03","パンプジン特大","85","100","122","58","75","54","霊","草","ものひろい"," おみとおし","ふみん","494","39","60"
"712","カチコール","55","69","85","32","35","28","氷","-","マイペース"," アイスボディ","がんじょう","304","99.5","80"
"713","クレベース","95","117","184","44","46","28","氷","-","マイペース"," アイスボディ","がんじょう","514","505","120"
"714","オンバット","40","30","35","45","40","55","飛","竜","おみとおし"," すりぬけ","テレパシー","245","8","20"
"715","オンバーン","85","70","80","97","80","123","飛","竜","おみとおし"," すりぬけ","テレパシー","535","85","80"
"716","ゼルネアス","126","131","95","131","98","99","妖","-","フェアリーオーラ","-","-","680","215","120"
"717","イベルタル","126","131","95","131","98","99","悪","飛","ダークオーラ","-","-","680","203","120"
"718","ジガルデ10%","54","100","71","61","85","115","竜","地","オーラブレイク"," スワームチェンジ","-","486","305","120"
"718-1","ジガルデ50%","108","100","121","81","95","95","竜","地","オーラブレイク"," スワームチェンジ","-","600","33.5","60"
"718-2","ジガルデ完全","216","100","121","91","95","85","竜","地","スワームチェンジ","-","-","708","610","120"
"719","ディアンシー","50","100","150","100","150","50","岩","妖","クリアボディ","-","-","600","8.8","20"
"719-1","メガディアンシー","50","160","110","160","110","110","岩","妖","マジックミラー","-","-","700","27.8","60"
"720","フーパ戒め","80","110","60","150","130","70","超","霊","マジシャン","-","-","600","9","20"
"720-1","フーパ解放","80","160","60","170","130","80","超","悪","マジシャン","-","-","680","490","120"
"721","ボルケニオン","80","110","120","130","90","70","炎","水","ちょすい","-","-","600","195","100"
"722","モクロー","68","55","55","50","50","42","草","飛","しんりょく","-","えんかく","320","1.5","20"
"723","フクスロー","78","75","75","70","70","52","草","飛","しんりょく","-","えんかく","420","16","40"
"724","ジュナイパー","78","107","75","100","100","70","草","霊","しんりょく","-","えんかく","530","36.6","60"
"725","ニャビー","45","65","40","60","40","70","炎","-","もうか","-","いかく","320","4.3","20"
"726","ニャヒート","65","85","50","80","50","90","炎","-","もうか","-","いかく","420","25","60"
"727","ガオガエン","95","115","90","80","90","60","炎","悪","もうか","-","いかく","530","83","80"
"728","アシマリ","50","54","54","66","56","40","水","-","げきりゅう","-","うるおいボイス","320","7.5","20"
"729","オシャマリ","60","69","69","91","81","50","水","-","げきりゅう","-","うるおいボイス","420","17.5","40"
"730","アシレーヌ","80","74","74","126","116","60","水","妖","げきりゅう","-","うるおいボイス","530","44","80"
"731","ツツケラ","35","75","30","30","30","65","ノ","飛","するどいめ"," スキルリンク","ものひろい","265","1.2","20"
"732","ケララッパ","55","85","50","40","50","75","ノ","飛","するどいめ"," スキルリンク","ものひろい","355","14.8","40"
"733","ドデカバシ","80","120","75","75","75","60","ノ","飛","するどいめ"," スキルリンク","ちからずく","485","26","60"
"734","ヤングース","48","70","30","30","30","45","ノ","-","はりこみ"," がんじょうあご","てきおうりょく","253","6","20"
"735","デカグース","88","110","60","55","60","45","ノ","-","はりこみ"," がんじょうあご","てきおうりょく","418","14.2","40"
"736","アゴジムシ","47","62","45","55","45","46","虫","-","むしのしらせ","-","-","300","4.4","20"
"737","デンヂムシ","57","82","95","55","75","36","虫","電","バッテリー","-","-","400","10.5","40"
"738","クワガノン","77","70","90","145","75","43","虫","電","ふゆう","-","-","500","45","80"
"739","マケンカニ","47","82","57","42","47","63","格","-","かいりきバサミ"," てつのこぶし","いかりのつぼ","338","7","20"
"740","ケケンカニ","97","132","77","62","67","43","格","氷","かいりきバサミ"," てつのこぶし","いかりのつぼ","478","180","100"
"741","オドリドリ_めらめら","75","70","70","98","70","93","炎","飛","おどりこ","-","-","476","3.4","20"
"741-1","オドリドリ_ぱちぱち","75","70","70","98","70","93","電","飛","おどりこ","-","-","476","3.4","20"
"741-2","オドリドリ_ふらふら","75","70","70","98","70","93","超","飛","おどりこ","-","-","476","3.4","20"
"741-3","オドリドリ_まいまい","75","70","70","98","70","93","霊","飛","おどりこ","-","-","476","3.4","20"
"742","アブリー","40","45","40","55","40","84","虫","妖","みつあつめ"," りんぷん","スイートベール","304","0.2","20"
"743","アブリボン","60","55","60","95","70","124","虫","妖","みつあつめ"," りんぷん","スイートベール","464","0.5","20"
"744","イワンコ","45","65","40","30","40","60","岩","-","するどいめ"," やるき","ふくつのこころ","280","9.2","20"
"745","ルガルガン昼","75","115","65","55","65","112","岩","-","するどいめ"," すなかき","ふくつのこころ","487","25","60"
"745-1","ルガルガン夜","85","115","75","55","75","82","岩","-","するどいめ"," やるき","ノーガード","487","25","60"
"745-2","ルガルガン黄昏","75","117","65","55","65","110","岩","-","かたいツメ","-","-","487","25","60"
"746","ヨワシ","45","20","20","25","25","40","水","-","ぎょぐん","-","ぎょぐん","175","0.3","20"
"746-1","ヨワシ_群れ","45","140","130","140","135","30","水","-","ぎょぐん","-","ぎょぐん","620","78.6","80"
"747","ヒドイデ","50","53","62","43","52","45","毒","水","ひとでなし"," じゅうなん","さいせいりょく","305","8","20"
"748","ドヒドイデ","50","63","152","53","142","35","毒","水","ひとでなし"," じゅうなん","さいせいりょく","495","14.5","40"
"749","ドロバンコ","70","100","70","45","55","45","地","-","マイペース"," じきゅうりょく","せいしんりょく","385","110","100"
"750","バンバドロ","100","125","100","55","85","35","地","-","マイペース"," じきゅうりょく","せいしんりょく","500","920","120"
"751","シズクモ","38","40","52","40","72","27","水","虫","すいほう","-","ちょすい","269","4","20"
"752","オニシズクモ","68","70","92","50","132","42","水","虫","すいほう","-","ちょすい","454","82","80"
"753","カリキリ","40","55","35","50","35","35","草","-","リーフガード","-","あまのじゃく","250","1.5","20"
"754","ラランテス","70","105","90","80","90","45","草","-","リーフガード","-","あまのじゃく","480","18.5","40"
"755","ネマシュ","40","35","55","65","75","15","草","妖","はっこう"," ほうし","あめうけざら","285","1.5","20"
"756","マシェード","60","45","80","90","100","30","草","妖","はっこう"," ほうし","あめうけざら","405","11.5","40"
"757","ヤトウモリ","48","44","40","71","40","77","毒","炎","ふしょく","-","どんかん","320","4.8","20"
"758","エンニュート","68","64","60","111","60","117","毒","炎","ふしょく","-","どんかん","480","22.2","40"
"759","ヌイコグマ","70","75","50","45","50","50","ノ","格","もふもふ"," ぶきよう","メロメロボディ","340","6.8","20"
"760","キテルグマ","120","125","80","55","60","60","ノ","格","もふもふ"," ぶきよう","きんちょうかん","500","135","100"
"761","アマカジ","42","30","38","30","38","32","草","-","リーフガード"," どんかん","スイートベール","210","3.2","20"
"762","アママイコ","52","40","48","40","48","62","草","-","リーフガード"," どんかん","スイートベール","290","8.2","20"
"763","アマージョ","72","120","98","50","98","72","草","-","リーフガード"," じょうおうのいげん","スイートベール","510","21.4","40"
"764","キュワワー","51","52","90","82","110","100","妖","-","フラワーベール"," ヒーリングシフト","しぜんかいふく","485","0.3","20"
"765","ヤレユータン","90","60","80","90","110","60","ノ","超","せいしんりょく"," テレパシー","きょうせい","490","76","80"
"766","ナゲツケサル","100","120","90","40","60","80","格","-","レシーバー","-","まけんき","490","82.8","80"
"767","コソクムシ","25","35","40","20","30","80","虫","水","にげごし","-","-","230","12","40"
"768","グソクムシャ","75","125","140","60","90","40","虫","水","ききかいひ","-","-","530","108","100"
"769","スナバァ","55","55","80","70","45","15","霊","地","みずがため","-","すながくれ","320","70","80"
"770","シロデスナ","85","75","110","100","75","35","霊","地","みずがため","-","すながくれ","480","250","120"
"771","ナマコブシ","55","60","130","30","130","5","水","-","とびだすなかみ","-","てんねん","410","1.2","20"
"772","タイプ_ヌル","95","95","95","95","95","59","ノ","-","カブトアーマー","-","-","534","120.5","100"
"773","シルヴァディ","95","95","95","95","95","95","ノ","-","ARシステム","-","-","570","100.5","100"
"773-01","シルヴァディ格","95","95","95","95","95","95","格","-","ARシステム","-","-","570","100.5","100"
"773-02","シルヴァディ飛","95","95","95","95","95","95","飛","-","ARシステム","-","-","570","100.5","100"
"773-03","シルヴァディ毒","95","95","95","95","95","95","毒","-","ARシステム","-","-","570","100.5","100"
"773-04","シルヴァディ地","95","95","95","95","95","95","地","-","ARシステム","-","-","570","100.5","100"
"773-05","シルヴァディ岩","95","95","95","95","95","95","岩","-","ARシステム","-","-","570","100.5","100"
"773-06","シルヴァディ虫","95","95","95","95","95","95","虫","-","ARシステム","-","-","570","100.5","100"
"773-07","シルヴァディ霊","95","95","95","95","95","95","霊","-","ARシステム","-","-","570","100.5","100"
"773-08","シルヴァディ鋼","95","95","95","95","95","95","鋼","-","ARシステム","-","-","570","100.5","100"
"773-09","シルヴァディ炎","95","95","95","95","95","95","炎","-","ARシステム","-","-","570","100.5","100"
"773-10","シルヴァディ水","95","95","95","95","95","95","水","-","ARシステム","-","-","570","100.5","100"
"773-11","シルヴァディ草","95","95","95","95","95","95","草","-","ARシステム","-","-","570","100.5","100"
"773-12","シルヴァディ電","95","95","95","95","95","95","電","-","ARシステム","-","-","570","100.5","100"
"773-13","シルヴァディ超","95","95","95","95","95","95","超","-","ARシステム","-","-","570","100.5","100"
"773-14","シルヴァディ氷","95","95","95","95","95","95","氷","-","ARシステム","-","-","570","100.5","100"
"773-15","シルヴァディ竜","95","95","95","95","95","95","竜","-","ARシステム","-","-","570","100.5","100"
"773-16","シルヴァディ悪","95","95","95","95","95","95","悪","-","ARシステム","-","-","570","100.5","100"
"773-17","シルヴァディ妖","95","95","95","95","95","95","妖","-","ARシステム","-","-","570","100.5","100"
"774","メテノ_流星","60","60","100","60","100","60","岩","飛","リミットシールド","-","-","440","40","80"
"774-1","メテノ_コア","60","100","60","100","60","120","岩","飛","リミットシールド","-","-","500","0.3","20"
"775","ネッコアラ","65","115","65","75","95","65","ノ","-","ぜったいねむり","-","-","480","19.9","40"
"776","バクガメス","60","78","135","91","85","36","炎","竜","シェルアーマー","-","-","485","212","120"
"777","トゲデマル","65","98","63","40","73","96","電","鋼","てつのトゲ"," ひらいしん","がんじょう","435","3.3","20"
"778","ミミッキュ","55","90","80","50","105","96","霊","妖","ばけのかわ","-","-","476","0.7","20"
"779","ハギギシリ","68","105","70","70","70","92","水","超","ビビッドボディ"," がんじょうあご","ミラクルスキン","475","19","40"
"780","ジジーロン","78","60","85","135","91","36","ノ","竜","ぎゃくじょう"," そうしょく","ノーてんき","485","185","100"
"781","ダダリン","70","131","100","86","90","40","霊","草","はがねつかい","-","-","517","210","120"
"782","ジャラコ","45","55","65","45","45","45","竜","-","ぼうだん"," ぼうおん","ぼうじん","300","29.7","60"
"783","ジャランゴ","55","75","90","65","70","65","竜","格","ぼうだん"," ぼうおん","ぼうじん","420","47","80"
"784","ジャラランガ","75","110","125","100","105","85","竜","格","ぼうだん"," ぼうおん","ぼうじん","600","78.2","80"
"785","カプ・コケコ","70","115","85","95","75","130","電","妖","エレキメイカー","-","テレパシー","570","20.5","40"
"786","カプ・テテフ","70","85","75","130","115","95","超","妖","サイコメイカー","-","テレパシー","570","18.6","40"
"787","カプ・ブルル","70","130","115","85","95","75","草","妖","グラスメイカー","-","テレパシー","570","45.5","80"
"788","カプ・レヒレ","70","75","115","95","130","85","水","妖","ミストメイカー","-","-","570","21.2","40"
"789","コスモッグ","43","29","31","29","31","37","超","-","てんねん","-","-","200","0.1","20"
"790","コスモウム","43","29","131","29","131","37","超","-","がんじょう","-","-","400","999.9","120"
"791","ソルガレオ","137","137","107","113","89","97","超","鋼","メタルプロテクト","-","-","680","230","120"
"792","ルナアーラ","137","113","89","137","107","97","超","霊","ファントムガード","-","-","680","120","100"
"793","ウツロイド","109","53","47","127","131","103","岩","毒","ビーストブースト","-","-","570","55.5","80"
"794","マッシブーン","107","139","139","53","53","79","虫","格","ビーストブースト","-","-","570","333.6","120"
"795","フェローチェ","71","137","37","137","37","151","虫","格","ビーストブースト","-","-","570","25","60"
"796","デンジュモク","83","89","71","173","71","83","電","-","ビーストブースト","-","-","570","100","100"
"797","テッカグヤ","97","101","103","107","101","61","鋼","飛","ビーストブースト","-","-","570","999.9","120"
"798","カミツルギ","59","181","131","59","31","109","草","鋼","ビーストブースト","-","-","570","0.1","20"
"799","アクジキング","223","101","53","97","53","43","悪","竜","ビーストブースト","-","-","570","888","120"
"800","ネクロズマ","97","107","101","127","89","79","超","-","プリズムアーマー","-","-","600","230","120"
"800-1","ネクロズマたそがれ","97","157","127","113","109","77","超","鋼","プリズムアーマー","-","-","680","460","120"
"800-2","ネクロズマあかつき","97","113","109","157","127","77","超","霊","プリズムアーマー","-","-","680","350","120"
"801","マギアナ","80","95","115","130","115","65","鋼","妖","ソウルハート","-","-","600","80.5","80"
"802","マーシャドー","90","125","80","90","90","125","格","霊","テクニシャン","-","-","600","22.2","40"
"803","ベベノム","67","73","67","73","67","73","毒","-","ビーストブースト","-","-","420","1.8","20"
"804","アーゴヨン","73","73","73","127","73","121","毒","竜","ビーストブースト","-","-","540","150","100"
"805","ツンデツンデ","61","131","211","53","101","13","岩","鋼","ビーストブースト","-","-","570","820","120"
"806","ズガドーン","53","127","53","151","79","107","炎","霊","ビーストブースト","-","-","570","13","40"
"807","ゼラオラ","88","112","75","102","80","143","電","-","ちくでん","-","-","600","44.5","80"
"808","メルタン","46","65","65","55","35","34","鋼","-","じりょく","-","じりょく","300","8","20"
"809","メルメタル","135","143","143","80","65","34","鋼","-","てつのこぶし","-","てつのこぶし","600","800","120"
"810","サルノリ","50","65","50","40","40","65","草","-","しんりょく","-","グラスメイカー","310","5","20"
"811","バチンキー","70","85","70","55","60","80","草","-","しんりょく","-","グラスメイカー","420","14","40"
"812","ゴリランダー","100","125","90","60","70","85","草","-","しんりょく","-","グラスメイカー","530","90","80"
"813","ヒバニー","50","71","40","40","40","69","炎","-","もうか","-","リベロ","310","4.5","20"
"814","ラビフット","65","86","60","55","60","94","炎","-","もうか","-","リベロ","420","9","20"
"815","エースバーン","80","116","75","65","75","119","炎","-","もうか","-","リベロ","530","33","60"
"816","メッソン","50","40","40","70","40","70","水","-","げきりゅう","-","スナイパー","310","4","20"
"817","ジメレオン","65","60","55","95","55","90","水","-","げきりゅう","-","スナイパー","420","11.5","40"
"818","インテレオン","70","85","65","125","65","120","水","-","げきりゅう","-","スナイパー","530","45.2","80"
"819","ホシガリス","70","55","55","35","35","25","ノ","-","ほおぶくろ","-","くいしんぼう","275","2.5","20"
"820","ヨクバリス","120","95","95","55","75","20","ノ","-","ほおぶくろ","-","くいしんぼう","460","6","20"
"821","ココガラ","38","47","35","33","35","57","飛","-","するどいめ","きんちょうかん","はとむね","245","1.8","20"
"822","アオガラス","68","67","55","43","55","77","飛","-","するどいめ","きんちょうかん","はとむね","365","16","40"
"823","アーマーガア","98","87","105","53","85","67","飛","鋼","プレッシャー","きんちょうかん","ミラーアーマー","495","75","80"
"824","サッチムシ","25","20","20","25","45","45","虫","-","むしのしらせ","ふくがん","テレパシー","180","8","20"
"825","レドームシ","50","35","80","50","90","30","虫","超","むしのしらせ","ふくがん","テレパシー","335","19.5","40"
"826","イオルブ","60","45","110","80","120","90","虫","超","むしのしらせ","おみとおし","テレパシー","505","40.8","80"
"827","クスネ","40","28","28","47","52","50","悪","-","にげあし","かるわざ","はりこみ","245","8.9","20"
"828","フォクスライ","70","58","58","87","92","90","悪","-","にげあし","かるわざ","はりこみ","455","19.9","40"
"829","ヒメンカ","40","40","60","40","60","10","草","-","わたげ","さいせいりょく","ほうし","250","2.2","20"
"830","ワタシラガ","60","50","90","80","120","60","草","-","わたげ","さいせいりょく","ほうし","460","2.5","20"
"831","ウールー","42","40","55","40","45","48","ノ","-","もふもふ","にげあし","ぼうだん","270","6","20"
"832","バイウールー","72","80","100","60","90","88","ノ","-","もふもふ","ふくつのこころ","ぼうだん","490","43","80"
"833","カムカメ","50","64","50","38","38","44","水","-","がんじょうあご","シェルアーマー","すいすい","284","8.5","20"
"834","カジリガメ","90","115","90","48","68","74","水","-","がんじょうあご","シェルアーマー","すいすい","485","115.5","100"
"835","ワンパチ","59","45","50","40","50","26","電","-","たまひろい","-","びびり","270","13.5","40"
"836","パルスワン","69","90","60","90","60","121","電","-","がんじょうあご","-","かちき","490","34","60"
"837","タンドン","30","40","50","40","50","30","岩","-","じょうききかん","たいねつ","もらいび","240","12","40"
"838","トロッゴン","80","60","90","60","70","50","岩","炎","じょうききかん","ほのおのからだ","もらいび","410","78","80"
"839","セキタンザン","110","80","120","80","90","30","岩","炎","じょうききかん","ほのおのからだ","もらいび","510","310.5","120"
"840","カジッチュ","40","40","80","40","40","20","草","竜","じゅくせい","くいしんぼく","ぼうだん","260","0.5","20"
"841","アップリュー","70","110","80","95","60","70","草","竜","じゅくせい","くいしんぼく","はりきり","485","1","20"
"842","タルップル","110","85","80","100","80","30","草","竜","じゅくせい","くいしんぼく","あついしぼう","485","13","40"
"843","スナヘビ","52","57","75","35","50","46","地","-","すなはき","だっぴ","すながくれ","315","7.6","20"
"844","サダイジャ","72","107","125","65","70","71","地","-","すなはき","だっぴ","すながくれ","510","65.5","80"
"845","ウッウ","70","85","55","85","95","85","飛","水","うのミサイル","-","うのミサイル","475","18","40"
"846","サシカマス","41","63","40","40","30","66","水","-","すいすい","-","スクリューおびれ","280","1","20"
"847","カマスジョー","61","123","60","60","50","136","水","-","すいすい","-","スクリューおびれ","490","30","60"
"848","エレズン","40","38","35","54","35","40","毒","電","びびり","せいでんき","ぶきよう","242","11","40"
"849","ストリンダー","75","98","70","114","70","75","毒","電","パンクロック","プラス","テクニシャン","502","40","80"
"850","ヤクデ","50","65","45","50","50","45","炎","虫","もらいび","しろいけむり","ほのおのからだ","305","1","20"
"851","マルヤクデ","100","115","65","90","90","65","炎","虫","もらいび","しろいけむり","ほのおのからだ","525","120","100"
"852","タタッコ","50","68","60","50","50","32","格","-","じゅうなん","-","テクニシャン","310","4","20"
"853","オトスパス","80","118","90","70","80","42","格","-","じゅうなん","-","テクニシャン","480","39","60"
"854","ヤバチャ","40","45","45","74","54","50","霊","-","くだけるよろい","-","のろわれボディ","308","0.2","20"
"855","ポットデス","60","65","65","134","112","70","霊","-","くだけるよろい","-","のろわれボディ","506","0.4","20"
"856","ミブリム","42","30","45","56","53","39","超","-","いやしのこころ","きけんよち","マジックミラー","265","3.4","20"
"857","テブリム","57","40","65","86","73","49","超","-","いやしのこころ","きけんよち","マジックミラー","370","4.8","20"
"858","ブリムオン","57","90","95","136","103","29","超","妖","いやしのこころ","きけんよち","マジックミラー","510","5.1","20"
"859","ベロバー","45","45","30","55","40","50","悪","妖","いたずらごころ","おみとおし","わるいてぐせ","265","5.5","20"
"860","ギモー","65","60","45","75","55","70","悪","妖","いたずらごころ","おみとおし","わるいてぐせ","370","12.5","40"
"861","オーロンゲ","95","120","65","95","75","60","悪","妖","いたずらごころ","おみとおし","わるいてぐせ","510","61","80"
"862","タチフサグマ","93","90","101","60","81","95","悪","ノ","すてみ","こんじょう","まけんき","520","46","80"
"863","ニャイキング","70","110","100","50","60","50","鋼","-","カブトアーマー","かたいツメ","はがねのせいしん","440","28","60"
"864","サニゴーン","60","95","50","145","130","30","霊","-","くだけるよろい","-","ほろびのボディ","510","0.4","20"
"865","ネギガナイト","62","135","95","68","82","65","格","-","ふくつのこころ","-","きもったま","507","117","100"
"866","バリコオル","80","85","75","110","100","70","超","氷","ちどりあし","バリアフリー","アイスボディ","520","58.2","80"
"867","デスバーン","58","95","145","50","105","30","霊","地","さまようたましい","-","さまようたましい","483","66.6","80"
"868","マホミル","45","40","40","50","61","34","妖","-","スイートベール","-","アロマベール","270","0.3","20"
"869","マホイップ","65","60","75","110","121","64","妖","-","スイートベール","-","アロマベール","495","0.5","20"
"870","タイレーツ","65","100","100","70","60","75","格","-","カブトアーマー","-","まけんき","470","62","80"
"871","バチンウニ","48","101","95","91","85","15","電","-","ひらいしん","-","エレキメイカー","435","1","20"
"872","ユキハミ","30","25","35","45","30","20","氷","虫","りんぷん","-","こおりのでんぷん","185","3.8","20"
"873","モスノウ","70","65","60","125","90","65","氷","虫","りんぷん","-","こおりのでんぷん","475","42","80"
"874","イシヘンジン","100","125","135","20","20","70","岩","-","パワースポット","-","パワースポット","470","520","120"
"875","コオリッポ","75","80","110","65","90","50","氷","-","アイスフェイス","-","アイスフェイス","470","89","80"
"875-1","コオリッポ_ナイスフェイス","75","80","70","65","50","130","氷","-","アイスフェイス","-","アイスフェイス","470","89","80"
"876","イエッサン_オス","60","65","55","105","95","95","超","ノ","せいしんりょく","シンクロ","サイコメーカー","475","28","60"
"876-1","イエッサン_メス","70","55","65","95","105","85","超","ノ","マイペース","シンクロ","サイコメーカー","475","28","60"
"877","モルペコ","58","95","58","70","58","97","電","悪","はらぺこスイッチ","-","はらぺこスイッチ","436","3","20"
"878","ゾウドウ","72","80","49","40","49","40","鋼","-","ちからずく","-","ヘヴィメタル","330","100","100"
"879","ダイオウドウ","122","130","69","80","69","30","鋼","-","ちからずく","-","ヘヴィメタル","500","650","120"
"880","パッチラゴン","90","100","90","80","70","75","電","竜","ちくでん","はりきり","すなかき","505","190","100"
"881","パッチルドン","90","100","90","90","80","55","電","氷","ちくでん","はりきり","ゆきかき","505","150","100"
"882","ウオノラゴン","90","90","100","70","80","75","水","竜","ちょすい","がんじょうあご","すなかき","505","215","120"
"883","ウオチルドン","90","90","100","80","90","55","水","氷","ちょすい","アイスボディ","ゆきかき","505","175","100"
"884","ジュラルドン","70","95","115","120","50","85","鋼","竜","ライトメタル","ヘヴィメタル","すじがねいり","535","40","80"
"885","ドラメシヤ","28","60","30","40","30","82","竜","霊","クリアボディ","すりぬけ","のろわれボディ","270","2","20"
"886","ドロンチ","68","80","50","60","50","102","竜","霊","クリアボディ","すりぬけ","のろわれボディ","410","11","40"
"887","ドラパルト","88","120","75","100","75","142","竜","霊","クリアボディ","すりぬけ","のろわれボディ","600","50","80"
"888","ザシアン","92","130","115","80","115","138","妖","-","ふとうのけん","-","ふとうのけん","670","110","100"
"888","ザシアン剣","92","170","115","80","115","148","妖","鋼","ふとうのけん","-","ふとうのけん","720","355","120"
"889","ザマゼンタ","92","130","115","80","115","138","格","-","ふくつのたて","-","ふくつのたて","670","210","120"
"889","ザマゼンタ盾","92","130","145","80","145","128","格","鋼","ふくつのたて","-","ふくつのたて","720","785","120"
"890","ムゲンダイナ","140","85","95","145","95","130","毒","竜","プレッシャー","-","プレッシャー","690","950","120"
"891","ダクマ","60","90","60","53","50","72","格","-","せいしんりょく","-","-","385","0","20"
"892","ウーラオス_一撃","100","130","100","63","60","97","格","悪","ふかしのこぶし","-","-","550","12","40"
"892-1","ウーラオス_連撃","100","130","100","63","60","97","格","水","ふかしのこぶし","-","-","550","105","100"
"892-2","ウーラオス","100","130","100","63","60","97","格","-","ふかしのこぶし","-","-","550","105","100"
"893","ザルード","105","120","105","70","95","105","悪","草","リーフガード","-","-","600","105","100"
"894","レジエレキ","80","100","50","100","50","200","電","-","トランジスタ","-","-","580","70","80"
"895","レジドラゴ","200","100","50","100","50","80","竜","-","りゅうのあぎと","-","-","580","145","100"
"896","ブリザポス","100","145","130","65","110","30","氷","-","しろのいななき","-","-","580","200","120"
"897","レイスポス","100","65","60","145","80","130","霊","-","くろのいななき","-","-","580","800","120"
"898","バドレックス","100","80","80","80","80","80","超","草","きんちょうかん","-","-","500","44.5","80"
"898-1","バドレックス_はくば","100","165","150","85","130","50","超","氷","じんばいったい","-","-","680","7.7","20"
"898-2","バドレックス_こくば","100","85","80","165","100","150","超","霊","じんばいったい","-","-","680","809.1","120"
"892-0","ウーラオス","100","130","100","63","60","97","格","-","ふかしのこぶし","-","-","550","53.6","80"
"906","ニャオハ","40","61","54","45","45","65","草","-","しんりょく","-","へんげんじざい","","",""
"907","ニャローテ","61","80","63","60","63","83","草","-","しんりょく","-","へんげんじざい","","",""
"908","マスカーニャ","76","110","70","81","70","123","草","悪","しんりょく","-","へんげんじざい","530","31.6","60"
"909","ホゲータ","67","45","59","63","40","36","炎","-","もうか","-","てんねん","","",""
"910","アチゲータ","81","55","78","90","58","49","炎","-","もうか","-","てんねん","","",""
"911","ラウドボーン","104","75","100","110","75","66","炎","霊","もうか","-","てんねん","530","326.5","120"
"912","クワッス","55","65","45","50","45","50","水","-","げきりゅう","-","じしんかじょう","","",""
"913","ウェルカモ","70","85","65","65","60","65","水","-","げきりゅう","-","じしんかじょう","","",""
"914","ウェーニバル","85","120","80","85","75","85","水","格","げきりゅう","-","じしんかじょう","","",""
"915","グルトン","54","45","40","35","45","35","ノ","-","アロマベール","くいしんぼう","あついしぼう","","",""
